Controller,Trials,SuccessRatePct,MeanSurvivalTimeS,MeanAngleRMSESuccessfulDeg,MeanPositionRMSESuccessfulm,MeanControlEnergySuccessfulN2s
PID,30,100,10,0.930519053894916,0.10105403504161,2.93302485220387
MPC,30,100,10,0.669220154893292,0.130389129375395,12.8491564777895
PPO,30,96.6666666666667,9.72,1.06455908189537,0.245308328982281,0.997505085448751
