Controller,Success,AngleRMSEDeg,PositionRMSEm,MaxAngleDeg,MaxPositionm,ControlEnergyN2s
PID,1,0.933664203221395,0.1053726528259,5,0.331987086111792,3.26187695932207
MPC,1,0.614470675519558,0.1179829707431,5,0.289608986241511,15.3566316530433
PPO,1,1.09842296743139,0.213294383033767,5,0.410853921569474,1.14808528868936
