Controller,Trial,InitialPositionm,InitialVelocitymps,InitialAngleDeg,InitialAngularRateRadps,Success,SurvivalTimeS,AngleRMSEDeg,PositionRMSEm,ControlEnergyN2s
PID,1,-0.280654365073077,0.151753263675519,2.77804198522711,0.0585181560656863,1,10,0.523988229179579,0.0496011819615586,0.775096100021054
PID,2,-0.0869882631213328,0.0731681488731405,1.56113813290235,0.278427576258667,1,10,0.761086862998945,0.0366856069830465,2.47310514171507
PID,3,0.476635478160301,0.0081146493734025,1.40012511180369,0.129608898700069,1,10,1.21613153837339,0.184439134050991,4.01640220211268
PID,4,-0.411100978351871,-0.0131977765930676,-6.45083131853546,-0.264939249069674,1,10,1.91163514366532,0.24293597847425,10.6245100054644
PID,5,-0.0207101403198184,-0.0970397599561874,7.95837542072207,0.0603772652285522,1,10,1.1132116863265,0.0533157371720306,4.54454003313877
PID,6,0.48755049423767,0.0032113122799334,2.19569559818687,0.284682692606237,1,10,1.5445289667568,0.216594734474786,7.13711032360554
PID,7,-0.301858910981082,0.0297879170455993,-4.23617073870706,0.255121343229839,1,10,0.548364225639823,0.0987017234457156,0.591990326526299
PID,8,0.411715181845275,-0.00394324572742438,6.57627243863308,0.0675394115285242,1,10,1.53209504797815,0.200693124763255,7.83791129206573
PID,9,0.0582501148658583,-0.117127999914098,-5.30868119193748,0.234358982793413,1,10,0.609218380244791,0.0178149424895438,0.568016691360166
PID,10,0.283229468475761,-0.0196465758103432,-2.5396764563978,-0.178440944607794,1,10,0.498049793353847,0.0563319863756536,0.911229775474621
PID,11,-0.197523410380451,0.175971544283581,0.544632010222029,0.259276655488745,1,10,0.718866672705903,0.0296105721150139,1.66988441913044
PID,12,-0.102699006513766,-0.0752985102229931,-2.09832345905964,-0.117765219468876,1,10,0.799283561991887,0.0765022699904003,2.2293122884921
PID,13,-0.204032685309577,-0.190798972641523,0.0793158157915013,0.259364020264769,1,10,0.424763809293776,0.0661450114173167,0.326325074135092
