time,position,positionVelocity,angle,angleVelocity,angleReference,force
0.7,0.302885874566717,-0.225892365568126,-0.0471878564872115,0.130259851825623,-0.00437488284941197,-0.586153973846896
0.72,0.298260297736846,-0.23667161030168,-0.0445573579435908,0.132928582517768,-0.0022144385915536,-0.51876661470602
0.74,0.293431903299778,-0.246174221870651,-0.041884825707907,0.134465389223002,-0.000231986169389908,-0.455142782107079
0.76,0.288425485191474,-0.25447402271785,-0.0391916935379317,0.134989621344255,0.00158138194508171,-0.395308918467724
0.78,0.28326435860724,-0.261645070043786,-0.0364970648867871,0.134615083207434,0.00323477896389664,-0.339247729457278
0.8,0.27797036351238,-0.26776083488733,-0.0338178293385298,0.133449474046214,0.00473739260484198,-0.28690565687572
0.82,0.272563883134895,-0.27289352483851,-0.0311687884781862,0.131594004204128,0.00609837508907504,-0.238199545211726
0.84,0.26706387472456,-0.277113534690308,-0.028562787921987,0.129143162701046,0.00732675212471307,-0.193022547325213
0.86,0.261487910167512,-0.280489010240627,-0.0260108527091369,0.126184613430045,0.00843134879554279,-0.151249317899099
0.88,0.255852224331667,-0.283085511415356,-0.02352232369036,0.122799199305636,0.00942073039406825,-0.112740545631846
0.9,0.250171769284842,-0.28496576188426,-0.0211049929418861,0.119061035679628,0.0103031563669979,-0.077346876475489
0.92,0.244460272773777,-0.28618947336563,-0.0187652365877543,0.115037676271142,0.0110865456762354,-0.0449122805544055
0.94,0.238730299578044,-0.286813233844964,-0.0165081437296876,0.110790336711702,0.0117784520165856,-0.0152769147979377
0.96,0.232993314558146,-0.286890449949756,-0.0143376404639962,0.106374162572372,0.0123860474699168,0.011720468095058
0.98,0.22725974640238,-0.286471334711402,-0.0122566082108663,0.101838530405137,0.0129161133119112,0.0362405158242085
1,0.221539051242944,-0.285602932893322,-0.0102669957951173,0.0972273718849082,0.0133750368196534,0.0584416318488781
1.02,0.215839775459198,-0.284329176961606,-0.00836992490134973,0.0925795125739711,0.0137688130544448,0.078478646964278
1.04,0.210169617116067,-0.282690967613753,-0.00656578868278075,0.0879290181428884,0.0141030507131176,0.0965017673038908
1.06,0.204535485599533,-0.280726273557686,-0.0048543434344543,0.0833055420693579,0.0143829812518911,0.112655762280381
1.08,0.198943559110128,-0.278470245945046,-0.0032347933503918,0.0787346699006318,0.0146134705889532,0.127079359290727
1.1,0.19339933976088,-0.275955343509463,-0.00170586847305495,0.0742382561094919,0.0147990327852655,0.139904815259938
1.12,0.187907706099232,-0.27321146504323,-0.000265896014556871,0.0698347504040205,0.0149438451876261,0.151257638222072
1.14,0.182472962934657,-0.270266086367092,0.00108713471540382,0.0655395110744673,0.0150517645940193,0.161256435095247
1.16,0.177098888405884,-0.26714439941091,0.0023555134978356,0.0613651035842843,0.0151263440691205,0.170012864570914
1.18,0.171788778265288,-0.263869451431547,0.00354175620140891,0.0573215831453241,0.0151708500979879,0.177631676590933
1.2,0.166545487393809,-0.260462282752792,0.00464855725982686,0.0534167604679062,0.0151882798190069,0.184210822222417
1.22,0.161371468589015,-0.25694206172453,0.00567874728895718,0.0496564502535193,0.0151813781236247,0.189841619860673
1.24,0.156268808692203,-0.253326215869227,0.00663525549754699,0.0460447023096288,0.0151526544509168,0.19460896560111
1.26,0.151239262138802,-0.249630558417091,0.00752107654547402,0.0425840154202504,0.0151043991401277,0.198591577331512
1.28,0.146284282030259,-0.245869409631098,0.00833924150820003,0.0392755343099716,0.0150386992345819,0.201862263619109
1.3,0.141405048835915,-0.242055712493121,0.00909279261444822,0.0361192301996754,0.0149574536562925,0.204488209816086
1.32,0.136602496840467,-0.238201142466062,0.00978476143531903,0.0331140655754826,0.0148623876926806,0.206531274997007
1.34,0.131877338457164,-0.234316211167477,0.0104181502163975,0.0302581438838805,0.0147550667555205,0.208048294386508
1.36,0.127230086529111,-0.230410363890358,0.0109959160593032,0.0275488449305589,0.0146369093879362,0.209091382849513
1.38,0.122661074741579,-0.226492070989332,0.0115209576750962,0.0249829468024704,0.0145091995083793,0.209708235812513
1.4,0.118170476267131,-0.222568913217648,0.011996104448567,0.0225567351558806,0.0143730978913367,0.209942424675612
1.42,0.113758320763164,-0.218647661154204,0.0124241075693645,0.0202661007209989,0.0142296528933564,0.209833684372576
1.44,0.109424509838232,-0.214734348902236,0.0128076330028702,0.0181066258690629,0.0140798104400982,0.209418191250627
1.46,0.105168831099581,-0.210834342273878,0.01314925609049,0.0160736610729762,0.013924423295759,0.208728829882756
1.48,0.100990970889788,-0.206952401698918,0.0134514575854193,0.0141623920698877,0.0137642596405848,0.20779544780154
1.5,0.096890525815452,-0.203092740113189,0.0137166209458118,0.0123678985052874,0.0136000109854622,0.206645097462645
1.52,0.0928670131656904,-0.199259076092968,0.0139470307225272,0.0106852048047877,0.013432299454932,0.205302265015239
1.54,0.0889198803127833,-0.195454682507822,0.0141448718931867,0.009109323983091,0.0132616844715323,0.203789085681775
1.56,0.0850485131818547,-0.191682430966065,0.014312230008057,0.00763529506076959,0.0130886688752899,0.202125545736372
1.58,0.0812522438710111,-0.187944832325357,0.0144510920262864,0.00625821471933269,0.0129137045125294,0.200329671224483
1.6,0.0775303574979492,-0.184244073536485,0.0145633477332165,0.00497326378435297,0.0127371973280783,0.198417703690769
1.62,0.0738820983437559,-0.180582051081644,0.0146507916408724,0.00377572908579611,0.0125595119944694,0.196404263281227
1.64,0.0703066753594784,-0.176960401260019,0.0147151252843123,0.00266102120462497,0.0123809761109789,0.19430249966295
1.66,0.0668032670960888,-0.173380527563626,0.0147579598363033,0.00162468857563213,0.0122018840043242,0.192124231263441
1.68,0.0633710261137137,-0.169843625375484,0.0147808189718051,0.000662428378595486,0.0120225001616611,0.189880073373987
1.7,0.0600090829214773,-0.16635070421064,0.0147851419220158,-0.000229905386513198,0.0118430623251858,0.187579555690453
1.72,0.0567165494950134,-0.162902607708524,0.0147722866653013,-0.00105629627923627,0.011663784276225,0.185231229882168
1.74,0.0534925224146569,-0.159500031572905,0.0147435332092132,-0.001820561925137,0.0114848583352029,0.182842767787182
1.76,0.0503360856635219,-0.156143539643381,0.0147000869240528,-0.00252635235203738,0.0113064576023497,0.180421050831671
1.78,0.0472463131211178,-0.15283357827016,0.0146430818940813,-0.00317714988806547,0.0111287379624745,0.177972251264109
1.8,0.0442222707848387,-0.149570489151905,0.014573584257565,-0.0037762703808241,0.0109518398755933,0.17550190578226
1.82,0.0412630187485831,-0.146354520784733,0.0144925955113966,-0.0043268655223267,0.0107758899736969,0.173014982114156
1.84,0.0383676129649134,-0.143185838659205,0.0144010557601095,-0.00483192608781555,0.0106010024824669,0.17051593909395
1.86,0.0355351068145328,-0.140064534331321,0.0142998468927154,-0.00529428591823341,0.0104272804853252,0.168008780750688
1.88,0.0327645525044441,-0.136990633483187,0.0141897956740061,-0.00571662649602366,0.0102548170458326,0.165497104903391
1.9,0.0300550023139367,-0.133964103079257,0.0140716767397757,-0.00610148198215983,0.0100836962031392,0.162984146729865
1.92,0.0274055097055252,-0.130984857714762,0.0139462154879007,-0.0064512445989316,0.0099139938539471,0.160472817749993
1.94,0.0248151303161142,-0.128052765244262,0.0138140908593681,-0.0067681702581252,0.00974577853327009,0.157965740637272
1.96,0.0222829228419915,-0.125167651770108,0.0136759380052121,-0.00705438434791913,0.0095791121051633,0.155465280245412
1.98,0.0198079498297278,-0.122329306062986,0.0135323508369314,-0.00731188760415935,0.00941405037356364,0.152973571210218
2,0.0173892783836905,-0.119537483479708,0.0133838844593312,-0.00754256200277033,0.00925064362241002,0.150492542460992
2.02,0.0150259807996402,-0.116791909436821,0.0132310574858998,-0.00774817661998793,0.0090889370933143,0.148023938950443
2.04,0.0127171351327683,-0.114092282492661,0.0130743542378098,-0.0079303934159519,0.00892897140822031,0.145569340887816
2.06,0.010461825707536,-0.111438277084878,0.0129142268284388,-0.00809077290505472,0.00877078294371979,0.143130180736736
2.08,0.00825914357578503,-0.108829545965424,0.0127510971359713,-0.0082307796833895,0.00861440416298703,0.140707758217092
2.1,0.00610818692879845,-0.106265722370378,0.0125853586671744,-0.00835178778974937,0.00845986391064655,0.138303253529438
2.12,0.004008061468282,-0.103746421957721,0.0124173783158539,-0.00845508588197896,0.0083071876752961,0.135917739000604
2.14,0.00195788074061527,-0.101271244542403,0.0122474980198201,-0.00854188221513387,0.00815639782386899,0.133552189330799
2.16,-4.32335618324744e-05,-0.0988397756545482,0.012076036320418,-0.00861330941193192,0.00800751381153065,0.131207490605175
2.18,-0.00199615132901147,-0.0964515879435359,0.011903289828835,-0.00867042901944284,0.00786055237036175,0.128884448216839
2.2,-0.00390173378824256,-0.0941062424478933,0.0117295346034916,-0.00871423584891685,0.00771552767968197,0.126583793833385
2.22,-0.00576083328350036,-0.0918032897484111,0.0115550274428525,-0.00874566209815217,0.00757245152050916,0.124306191525325
2.24,-0.00757429307674461,-0.0895422710196531,0.0113800070979943,-0.00876558125789489,0.00743133341632788,0.122052243162202
2.26,-0.0093429471693992,-0.0873227189930274,0.0112046954092113,-0.00877481180549802,0.00729218076205407,0.119822493170547
2.28,-0.0110676201423237,-0.0851441588428091,0.0110292983708675,-0.00877412069048172,0.00715499894282702,0.117617432737351
2.3,-0.012749127012835,-0.0830061090049335,0.0108540071285961,-0.00876422661777152,0.00701979144403342,0.115437503533026
2.32,-0.0143882731075179,-0.0809080819369922,0.010678998912824,-0.00874580313528122,0.00688655995376776,0.113283101019175
2.34,-0.0159858539497216,-0.0788495848266468,0.0105044379124598,-0.00871948153318289,0.00675530445875683,0.111154577398525
2.36,-0.0175426551607714,-0.0768301202546106,0.0103304760924302,-0.00868585356269801,0.00662602333462132,0.10905224425731
2.38,-0.0190594523740389,-0.0748491868174179,0.010157253958592,-0.00864547398257543,0.0064987134312122,0.106976374943954
2.4,-0.0205370111611115,-0.0729062797143951,0.00998490127337955,-0.00859886294161816,0.00637337015364171,0.104927206722188
2.42,-0.0219760869693806,-0.0710008913025518,0.00981353772538083,-0.00854650820570235,0.00624998753952683,0.102904942731612
2.44,-0.0233774250704399,-0.0691325116225086,0.00964327355586727,-0.00848886723771569,0.00612855833287522,0.100909753784154
2.46,-0.0247417605187392,-0.0673006288980675,0.00947421014513286,-0.00842636913874734,0.00600907405496804,0.0989417800208494
2.48,-0.0260698181199886,-0.0655047300115919,0.00930644056133525,-0.00835941645869972,0.00589152507252988,0.0970011324497729
2.5,-0.0273623124088476,-0.0637443009569971,0.00914005007436911,-0.00828838688427853,0.00577590066342134,0.0950878943828535
2.52,-0.0286199476354654,-0.0620188272718383,0.00897511663714615,-0.00821363481206105,0.00566218908004424,0.093202122786506
2.54,-0.0298434177604668,-0.0603277944497266,0.00881171133650482,-0.00813549281405518,0.00555037761061073,0.0913438495586426
2.56,-0.0310334064580013,-0.0586706883340899,0.00864989881582781,-0.00805427300284981,0.0054404526383962,0.0895130827425231
2.58,-0.032190587126489,-0.0570469954941172,0.00848973767130673,-0.00797026830312942,0.00533239969906968,0.0877098076861
2.6,-0.0333156229067155,-0.0554562035835869,0.0083312808236615,-0.0078837536359878,0.0052262035361747,0.0859339881539592
2.62,-0.0344091667069381,-0.0538978016831632,0.00817457586699653,-0.00779498702213287,0.00512184815481639,0.0841855673976274
2.64,-0.0354718612346785,-0.052371280626656,0.00801966539635763,-0.00770421060973109,0.00501931687359796,0.0824644691888809
2.66,-0.0365043390348845,-0.0508761333116728,0.00786658731544201,-0.00761165163229998,0.00491859237483932,0.0807705988197412
2.68,-0.0375072225341538,-0.0494118549950349,0.00771537512580892,-0.0075175233017228,0.00481965675310323,0.0791038440720328
2.7,-0.0384811240907164,-0.0479779435732992,0.0075660581988404,-0.00742202564113432,0.00472249156204932,0.0774640761587189
2.72,-0.0394266460498828,-0.0465738998486942,0.00741866203160969,-0.00732534626211125,0.00462707785963244,0.0758511506386747
2.74,-0.0403443808046683,-0.0451992277807664,0.00727320848772941,-0.00722766109029786,0.00453339625166013,0.0742649083061192
2.76,-0.0412349108613101,-0.0438534347240249,0.00712971602417189,-0.00712913504330737,0.00444142693372302,0.0727051760555604
2.78,-0.0420988089094007,-0.0425360316518646,0.00698819990497986,-0.00702992266446304,0.004351149731512,0.0711717677228345
2.8,-0.0429366378963659,-0.041246533367055,0.00684867240271751,-0.0069301687156811,0.00426254413953685,0.0696644849025952
2.82,-0.0437489511060212,-0.0399844586990835,0.00671114298844781,-0.00683000873254995,0.00417558935826243,0.0681831177424491
2.84,-0.0445362922409463,-0.0387493306886481,0.00657561851096385,-0.00672956954442679,0.00409026432968017,0.06672744571382
2.86,-0.0452991955084254,-0.0375406767596071,0.00644210336594726,-0.00662896976215468,0.00400654777133448,0.0652972383595398
2.88,-0.0460381857097035,-0.0363580288786971,0.00631059965567712,-0.0065283202357979,0.00392441820882613,0.0638922560181214
2.9,-0.0467537783323183,-0.0352009237033451,0.00618110733986657,-0.00642772448460316,0.0038438540068165,0.0625122505246482
2.92,-0.0474464796452732,-0.0340689027179067,0.00605362437816203,-0.00632727910121673,0.00376483339855906,0.0611569658882107
2.94,-0.0481167867968228,-0.0329615123586721,0.00592814686480094,-0.00622707413202285,0.00368733451398621,0.0598261389458405
2.96,-0.0487651879146496,-0.0318783041279897,0.00580466915588832,-0.00612719343531642,0.0036113354063821,0.058519499992917
2.98,-0.0493921622082182,-0.0308188346978632,0.00568318398971952,-0.00602771501888255,0.00353681407767338,0.0572367733900604
3,-0.0499981800731002,-0.0297826660033847,0.00556368260054616,-0.00592871135842538,0.00346374850237191,0.0559776781465687
3.02,-0.0505837031970698,-0.0287693653263697,0.00544615482615525,-0.00583024969816972,0.00339211665020467,0.0547419284805022
3.04,-0.0511491846677774,-0.0277785053695634,0.00533058920960528,-0.00573239233484936,0.00332189650746769,0.0535292343555711
3.06,-0.0516950690818183,-0.0268096643217903,0.00521697309544061,-0.00563519688619531,0.00325306609714164,0.0523393019950307
3.08,-0.0522217926550157,-0.0258624259144179,0.00510529272068349,-0.0055387165449457,0.00318560349780774,0.0511718343728394
3.1,-0.0527297833337517,-0.0249363794695048,0.00499553330088402,-0.00544300031931475,0.00311948686140348,0.0500265316823806
3.12,-0.0532194609071812,-0.0240311199400041,0.00488767911148988,-0.00534809326078183,0.00305469442985776,0.0489030917831014
3.14,-0.0536912371201736,-0.023146247942385,0.00478171356478157,-0.00525403667999151,0.00299120455064586,0.0478012106254545
3.16,-0.054145515786836,-0.0222813697820364,0.00467761928260347,-0.00516086835149213,0.00292899569130432,0.0467205826545771
3.18,-0.0545826929044751,-0.0214360974718074,0.0045753781651071,-0.00506862270798242,0.00286804645294617,0.0456609011931734
3.2,-0.0550031567678652,-0.0206100487440344,0.00447497145571027,-0.00497733102468306,0.00280833558281644,0.0446218588040956
3.22,-0.055407288083695,-0.0198028470563995,0.00437637980246366,-0.00488702159440237,0.0027498419859279,0.0436031476331522
3.24,-0.0557954600850732,-0.0190141215919547,0.00427958331600573,-0.00479771989382203,0.00269254473581616,0.0426044597326896
3.26,-0.0561680386459804,-0.0182435072536399,0.00418456162427656,-0.00470944874148904,0.00263642308445305,0.0416254873665175
3.28,-0.0565253823955581,-0.0174906446536128,0.00409129392415188,-0.0046222284479649,0.00258145647135626,0.0406659232967625
3.3,-0.0568678428321369,-0.0167551800977011,0.00399975903014993,-0.00453607695855012,0.00252762453193269,0.039725461053245
3.32,-0.0571957644369076,-0.0160367655652764,0.00390993542035558,-0.00445100998897312,0.00247490710509199,0.0388037951859868
3.34,-0.0575094847871465,-0.0153350586848409,0.00382180127969892,-0.00436704115440568,0.00242328424016584,0.0379006215014589
3.36,-0.0578093346689133,-0.0146497227056057,0.0037353345407181,-0.00428418209214304,0.00237273620316778,0.0370156372831837
3.38,-0.0580956381891423,-0.0139804264653325,0.00365051292193007,-0.00420244257826441,0.00232324348242721,0.0361485414973051
3.4,-0.0583687128870567,-0.0133268443546978,0.00356731396392657,-0.00412183063857017,0.0022747867936302,0.0352990349837351
3.42,-0.0586288698448371,-0.0126886562784283,0.00348571506330691,-0.00404235265407311,0.00222734708429866,0.0344668206334845
3.44,-0.0588764137974831,-0.012065547613449,0.00340569350455392,-0.00396401346130487,0.0021809055377385,0.0336516035527744
3.46,-0.0591116432418109,-0.0114572091642714,0.00332722648995413,-0.00388681644768356,0.00213544357648614,0.0328530912145175
3.48,-0.0593348505445325,-0.0108633371158409,0.00325029116765869,-0.00381076364217413,0.00209094286528166,0.0320709935977487
3.5,-0.0595463220493689,-0.010283632984054,0.00317486465797686,-0.00373585580146102,0.00204738531359587,0.0313050233155712
