time,position,positionVelocity,angle,angleVelocity,force,calculationTime,predictedCost,solverIterations
0,0.2,0,0.0872664625997165,0,10,0.51503,1440.88541244596,9
0.02,0.201937773313122,0.193785569930312,0.0846257022508946,-0.264228169856766,10.0000000000015,0.035582,1389.75171619374,5
0.04,0.20775207768323,0.387669153682457,0.0766851734630535,-0.530279931599855,10.0000000000022,0.022659,1349.27537850384,4
0.06,0.217445813013615,0.581743327211229,0.0633903078734871,-0.799960128926952,10.0000000000022,0.027884,1323.19458814897,4
0.08,0.231023626669912,0.7760891610534,0.0446508030971973,-1.07503334309212,2.85232033912415,0.11852,1311.48852090165,4
0.1,0.247096987209031,0.831297315338237,0.0224331942763466,-1.14790198018408,-10,0.006735,1309.63277540868,3
0.12,0.261769732275955,0.636019267239201,0.00244949695498438,-0.851498480203875,-10.0000000000014,0.001989,1311.34925763076,2
0.14,0.272539282342392,0.440968917676225,-0.0116623007917113,-0.560426215272429,-10.000000000001,0.001974,1311.35400763992,2
0.16,0.279409582104417,0.246081955330318,-0.019991394445281,-0.272929363312121,-6.79362602532012,0.00175,1307.73477893323,2
0.18,0.283008752121218,0.11384397095141,-0.0235299134047818,-0.0811120044710123,-3.05162877403301,0.00168,1301.65586074023,1
0.2,0.284693647040939,0.0546474986916014,-0.0243347909995217,0.000581502748835117,-0.923960235902193,0.001711,1294.45706857549,1
0.22,0.285609803121304,0.036967615719487,-0.024129479398817,0.0199604721403159,-0.170382705052468,0.001725,1286.70297087402,1
0.24,0.286319351942768,0.0339863743090689,-0.0237561331336676,0.0173937985169192,-0.0739552038149824,0.002183,1278.45187446651,1
0.26,0.28698803989686,0.0328817169283651,-0.0234612242469927,0.012112604877701,-0.156764149899679,0.002172,1269.64132671587,1
0.28,0.287618439721786,0.0301577533611422,-0.0232468776659328,0.0093333318177096,-0.229620666069529,0.002023,1260.22795883397,1
0.3,0.288180116343349,0.026009476716243,-0.0230661698779516,0.00874695654214373,-0.259656270421253,0.00201,1250.20415764057,1
0.32,0.28865294147857,0.0212726103068597,-0.0228878385119436,0.00909556484815607,-0.263088938362777,0.001864,1239.5831043996,1
0.34,0.289030333574206,0.0164661522973285,-0.0227009596348499,0.00960215749733098,-0.257606022155066,0.001837,1228.38492552038,1
0.36,0.289312639042574,0.0117639257617188,-0.0225049532804233,0.0100087928521953,-0.251756113253684,0.001795,1216.63023116177,1
0.38,0.289502012908761,0.00717297523723455,-0.0223018993310523,0.010307287790947,-0.247583583829616,0.001724,1204.33863707045,1
0.4,0.289600352493274,0.00266048469701701,-0.022093449575461,0.0105486573612392,-0.244641236676323,0.001959,1191.52913458783,1
0.42,0.289608986241511,-0.00179761945879242,-0.0218803705554413,0.010770457793965,-0.242170957114119,0.002288,1178.22065370978,1
0.44,0.289528909125313,-0.00621061224554119,-0.0216629012560222,0.0109879162889037,-0.239740686327302,0.002083,1164.43235985826,1
0.46,0.289361014940007,-0.0105793367219258,-0.0214411030392339,0.0112035772881154,-0.237213232729168,0.001865,1150.18372444786,1
0.48,0.289106207395255,-0.0149019584210439,-0.0212150266826386,0.0114159553515008,-0.234586469297533,0.001859,1135.49449553145,1
0.5,0.288765427313835,-0.0191766004248505,-0.0209847534874804,0.011623481944672,-0.231888828995174,0.001779,1120.38464744099,1
0.52,0.288339647522181,-0.0234019392301769,-0.0207503880918589,0.0118253906888736,-0.229141050790126,0.001762,1104.87433720005,1
0.54,0.287829863285923,-0.0275770543978854,-0.0205120447367617,0.0120214871690986,-0.226352034357255,0.001795,1088.98387020305,1
0.56,0.287237086559537,-0.0317011974783155,-0.020269839311081,0.0122118009234697,-0.223524152044369,0.001814,1072.73367104187,1
0.58,0.286562343820208,-0.035773664652528,-0.0200238867839671,0.0123963944365771,-0.22065780406006,0.002049,1056.14425614232,1
0.6,0.285806675559861,-0.0397937582679986,-0.0197743011196592,0.0125753057679564,-0.217753427824896,0.002095,1039.2362068038,1
0.62,0.284971136154448,-0.0437607875757069,-0.0195211957524196,0.012748549883814,-0.214811908471852,0.001977,1022.03014239397,1
0.64,0.284056793638465,-0.0476740774707231,-0.01926468391612,0.0129161318676832,-0.21183443271871,0.001927,1004.54669383753,1
0.66,0.283064729333206,-0.051532974378599,-0.0190048787531562,0.0130780557885773,-0.208822299005583,0.001956,986.806477557516,1
0.68,0.281996037394335,-0.0553368484366898,-0.0187418933017415,0.0132343280013591,-0.20577681651735,0.001993,968.830069960263,1
0.7,0.280851824335541,-0.059085093705757,-0.0184758404466466,0.0133849575036971,-0.202699277744209,0.001894,950.637982502526,1
0.72,0.279633208553299,-0.0627771278469005,-0.0182068328706694,0.0135299555059387,-0.199590957430296,0.001845,932.250637358053,1
0.74,0.278341319858294,-0.0664123917786103,-0.0179349830148728,0.0136693349841517,-0.196453121335757,0.002035,913.688343696165,1
0.76,0.276977299011987,-0.0699903495052977,-0.0176604030450788,0.0138031105009799,-0.193287030063907,0.002086,894.971274585372,1
0.78,0.275542297265865,-0.0735104880209611,-0.0173832048207236,0.01393129814862,-0.190093940576439,0.002231,876.119444536652,1
0.8,0.274037475902308,-0.0769723172428565,-0.0171034998643131,0.0140539155458353,-0.186875105716858,0.002112,857.152687700465,1
0.82,0.27246400577688,-0.0803753699363051,-0.0168213993309798,0.0141709818306334,-0.183631772908079,0.002008,838.090636731154,1
0.84,0.27082306686237,-0.0837192016145221,-0.0165370139784737,0.0142825176243669,-0.180365185636724,0.002009,818.95270233071,1
0.86,0.26911584779454,-0.0870033904678324,-0.016250454137341,0.0143885450486572,-0.177076581128453,0.001908,799.758053483232,1
0.88,0.267343545419744,-0.0902275372479536,-0.015961829681352,0.0144890876836658,-0.17376719039526,0.001863,780.525598390147,1
0.9,0.265507364344844,-0.0933912651536179,-0.0156712499986571,0.0145841705369267,-0.170438238875754,0.002199,761.273966115023,1
0.92,0.26360851648928,-0.0964942197290955,-0.0153788239632885,0.014673820039913,-0.167090945260092,0.002251,742.021488945957,1
0.94,0.26164822063941,-0.099536068740195,-0.0150846599069854,0.0147580640191313,-0.163726520896994,0.002136,722.786185482483,1
0.96,0.259627702005421,-0.10251650203909,-0.0147888655916826,0.0148369316586088,-0.160346170841471,0.002009,703.585744452757,1
