time,position,positionVelocity,angle,angleVelocity,force,calculationTime
0,0.2,0,0.0872664625997165,0,2.1377477645874,0.004001
0.02,0.200404453533436,0.0404462192874297,0.086918155788597,-0.0348492745827009,2.12244963645935,0.002839
0.04,0.20161493464288,0.0806044838890821,0.0858754628703217,-0.0694757051479415,2.08666658401489,0.002568
0.06,0.20362179238124,0.120085581869699,0.0841465945554897,-0.103503426419935,2.01938915252686,0.003767
0.08,0.206405442120808,0.158285324325403,0.081750529905686,-0.136230851919304,1.91710698604584,0.004012
0.1,0.209933526042336,0.194530538332532,0.078721390234448,-0.166844499136344,1.78164625167847,0.002764
0.12,0.214160571499177,0.228182872737262,0.0751091746193977,-0.194569212147499,1.64420080184937,0.002459
0.14,0.219034413322382,0.259211419185377,0.0709704710644316,-0.219520961529984,1.48782348632812,0.003065
0.16,0.224498953422291,0.28725378546217,0.0663646817387128,-0.241302199902531,1.29832994937897,0.003171
0.18,0.230488068625936,0.311669824970898,0.0613635116851304,-0.259079530740896,1.09590840339661,0.002668
0.2,0.236926758470566,0.332211939938582,0.0560496930666656,-0.27258312948095,0.91108500957489,0.00258
0.22,0.243741013244137,0.349226825069613,0.0505027028261,-0.282408609731044,0.763428568840027,0.002765
0.24,0.250867564989629,0.363442010393803,0.0447846145693654,-0.289701664291624,0.602310836315155,0.002721
0.26,0.258247812267942,0.374596624259726,0.0389495570429174,-0.294111426922751,0.43669655919075,0.003741
0.28,0.265819677341017,0.382603902024607,0.0330562315408994,-0.295531299685118,0.264187216758728,0.003144
0.3,0.273518871184117,0.38732947361994,0.0271663573525652,-0.29376593161971,0.0864578038454056,0.002613
0.32,0.281278735745943,0.38867079935883,0.0213452653560777,-0.288649336402547,-0.081850990653038,0.002668
0.34,0.289033410113029,0.386810136289489,0.0156575243368209,-0.280423763592678,-0.231520652770996,0.002333
0.36,0.29672246912511,0.382108818764954,0.0101603507146199,-0.269582580360718,-0.361994206905365,0.002456
0.38,0.304292816001156,0.374938370601311,0.00490109439778494,-0.256619570666802,-0.461817234754562,0.003855
0.4,0.311701013688927,0.365893268986023,-8.59899735660306e-05,-0.242351147656144,-0.5528205037117,0.003099
0.42,0.318911250967686,0.355141640245955,-0.00477649484171674,-0.226946104663126,-0.633758902549744,0.002549
0.44,0.325891318787125,0.342875582630624,-0.00914968056835931,-0.21060262453048,-0.681920886039734,0.002389
0.46,0.332617278838699,0.329730095249637,-0.0131953603149363,-0.194178345704752,-0.734662473201752,0.002607
0.48,0.33907060276093,0.315611189290069,-0.0169095462963124,-0.177435865842755,-0.77045202255249,0.002808
0.5,0.345235082827629,0.300844919802272,-0.0202897888256136,-0.160766469962729,-0.788140058517456,0.004152
0.52,0.351101256455413,0.285779765461475,-0.0233417991639304,-0.144595395991165,-0.796635806560516,0.002924
0.54,0.35666489321346,0.270590477941208,-0.0260772102797234,-0.129089893688751,-0.803037941455841,0.002553
0.56,0.361923874264478,0.255313469023202,-0.0285089612213429,-0.114213395563252,-0.803649425506592,0.002633
0.58,0.36687753207407,0.24005745838497,-0.0306503812221417,-0.100041508870579,-0.800288617610931,0.002622
0.6,0.371527020592752,0.224895877826187,-0.0325158224044877,-0.0866009721456761,-0.793768763542175,0.003901
0.62,0.375874805750546,0.20988649471559,-0.0341199790600845,-0.0738992840766818,-0.776560246944427,0.003097
0.64,0.379925980014694,0.195234201110201,-0.0354799451413393,-0.0621690378447611,-0.757730841636658,0.002488
0.66,0.38368796709578,0.180967234955447,-0.0366148713945327,-0.0513834329057184,-0.737663507461548,0.002381
0.68,0.387168683475013,0.167106634116989,-0.0375433204554237,-0.0415104287837753,-0.719465017318726,0.002336
0.7,0.39037586288474,0.15361308243453,-0.0382823631796975,-0.0324328105208163,-0.700449705123901,0.002735
0.72,0.393316979096256,0.140499896283458,-0.0388475635902571,-0.0241170299902439,-0.68051153421402,0.004508
0.74,0.3959997951208,0.127782681881767,-0.0392538943727134,-0.0165374706212726,-0.659917950630188,0.004545
0.76,0.39843233606073,0.11547204082409,-0.0395157845425269,-0.00966535344181732,-0.639246761798859,0.003596
0.78,0.400622728382609,0.103567506247202,-0.039646963617693,-0.00345947082678015,-0.621151983737946,0.003474
0.8,0.402578573352873,0.0920170212378938,-0.0396596031303686,0.00219485035996962,-0.602458834648132,0.004273
0.82,0.404307052176197,0.0808306332933752,-0.0395645461800919,0.0073158505801539,-0.583422541618347,0.003982
0.84,0.405815498764954,0.0700135646909541,-0.0393722303711958,0.0119258603622308,-0.564256072044373,0.002888
0.86,0.407111311416046,0.0595670304373532,-0.0390926169980918,0.0160502054083932,-0.544945299625397,0.002388
0.88,0.408201916899776,0.0494926617103468,-0.0387351960034439,0.0197107201739834,-0.525630116462708,0.002222
0.9,0.409094748666938,0.0397894942813987,-0.0383090093117942,0.0229303957791848,-0.506434321403503,0.003067
0.92,0.409797198013142,0.030454275715032,-0.0378226309500938,0.0257330556728993,-0.486401915550232,0.004616
0.94,0.410316778922913,0.0215025269269991,-0.0372844648383306,0.0281118961036669,-0.466440677642822,0.003873
0.96,0.410661139902233,0.0129321788679024,-0.0367028121036064,0.0300840057495758,-0.447116851806641,0.003664
